"","logFC","logCPM","LR","PValue","FDR","gene_name","gene_type"
"ENSG00000035499",3.56534720890836,2.55083864760475,539.013898547598,3.08999060047019e-119,1.21268142177407e-117,"DEPDC1B","protein_coding"
"ENSG00000035720",1.78157261202208,0.755671565292302,102.098354801656,5.28324072107642e-24,2.09962531101458e-23,"STAP1","protein_coding"
"ENSG00000036448",-2.20729607060135,2.62810783860743,156.00160042685,8.45897557989052e-36,5.37609379881931e-35,"MYOM2","protein_coding"
"ENSG00000036473",-3.45990626109669,-4.00354331017202,129.18310399684,6.18419884088408e-30,3.12170803290487e-29,"OTC","protein_coding"
"ENSG00000036565",3.44765928536914,-1.54821771232609,48.5615306403201,3.20086793582465e-12,7.26809418955294e-12,"SLC18A1","protein_coding"
"ENSG00000036672",-1.27907281016819,2.21052358397767,146.208093261289,1.16909302057134e-33,6.84573982775262e-33,"USP2","protein_coding"
"ENSG00000037241",1.11433470495416,4.31039338785449,317.426175967597,5.26675131876933e-71,8.87882320420015e-70,"RPL26L1","protein_coding"
"ENSG00000037280",-1.63334488422132,4.63506641729145,625.546692382277,4.64922267565212e-138,2.69089282755474e-136,"FLT4","protein_coding"
"ENSG00000038295",-1.12168633011644,2.32515007935096,106.252339474954,6.49191829343791e-25,2.67705848442931e-24,"TLL1","protein_coding"
"ENSG00000038427",1.70771534531359,8.61171087206665,165.840989989736,5.99239341078811e-38,4.08534196006368e-37,"VCAN","protein_coding"
"ENSG00000038945",1.087971236992,5.94340826163568,104.296953470465,1.74156598512398e-24,7.0519502885288e-24,"MSR1","protein_coding"
"ENSG00000039537",-2.8351851614854,2.09702086605067,236.72996590776,2.03113561684672e-53,2.26514009185794e-52,"C6","protein_coding"
"ENSG00000040275",1.23302968242634,3.75768385273597,311.077590083174,1.27197987206293e-69,2.07094886515756e-68,"SPDL1","protein_coding"
"ENSG00000040608",1.17039653665636,2.89338539555465,117.951954989565,1.77639236254617e-27,8.19889565344608e-27,"RTN4R","protein_coding"
"ENSG00000040731",1.60600528875441,-1.10931694795028,7.66598737533127,0.00562714582649217,0.00723468982570231,"CDH10","protein_coding"
"ENSG00000041515",-1.51029054057388,0.772638713122311,99.24022316226,2.23658019219399e-23,8.65050498686174e-23,"MYO16","protein_coding"
"ENSG00000042286",-1.81807563191205,4.73366178626429,794.877055024499,7.01271239069865e-175,6.42495496387681e-173,"AIFM2","protein_coding"
"ENSG00000042445",-1.51493507414533,6.9912219849747,659.271749055792,2.15134575755055e-145,1.37130715689619e-143,"RETSAT","protein_coding"
"ENSG00000042832",1.90797888244792,0.392787535915903,113.859508087663,1.39876064200868e-26,6.21759943536449e-26,"TG","protein_coding"
"ENSG00000043355",3.22860130574287,1.38564872472842,75.5001970763267,3.6537041715877e-18,1.12035057171542e-17,"ZIC2","protein_coding"
"ENSG00000043591",-1.47135263919338,1.03428356864756,49.7119358900611,1.78059374003077e-12,4.09944297678237e-12,"ADRB1","protein_coding"
"ENSG00000046653",-1.66827545105545,4.2689692876533,249.929713575817,2.69006492823814e-56,3.24889884986284e-55,"GPM6B","protein_coding"
"ENSG00000046774",7.34362322919363,0.294664692350214,42.1670507937818,8.38000981036057e-11,1.75566156123612e-10,"MAGEC2","protein_coding"
"ENSG00000046889",-2.03086914220532,4.00514246393116,588.30363971897,5.8599239970587e-130,2.89361563449696e-128,"PREX2","protein_coding"
"ENSG00000047648",-1.08842433884558,2.27702104387061,147.006276895811,7.82274304535307e-34,4.61392812517725e-33,"ARHGAP6","protein_coding"
"ENSG00000047662",1.25201377979929,1.29048089484385,49.3649673933432,2.12506891290756e-12,4.87182288978162e-12,"FAM184B","protein_coding"
"ENSG00000047936",3.88998665343685,-0.00483436462417373,55.6712716646712,8.56609934215628e-14,2.10722370625247e-13,"ROS1","protein_coding"
"ENSG00000048540",-1.12954122353959,3.62845196341466,43.9228287668932,3.41581462133087e-11,7.31344283085167e-11,"LMO3","protein_coding"
"ENSG00000048545",3.08610283909653,-2.94392668876547,90.8480867871053,1.5513694981478e-21,5.53088321355747e-21,"GUCA1A","protein_coding"
"ENSG00000048740",-1.68049225421478,5.16850574524112,412.000190555602,1.34505149346597e-91,3.22696548340145e-90,"CELF2","protein_coding"
"ENSG00000049192",1.67001695655214,2.33073107543084,230.583682951315,4.44684256337283e-52,4.77356434774832e-51,"ADAMTS6","protein_coding"
"ENSG00000049247",3.22225587961155,-1.827840023585,97.5877490656167,5.15217118596678e-23,1.95969381790722e-22,"UTS2","protein_coding"
"ENSG00000049249",3.20214126916889,1.66326823553425,292.44546299464,1.45787282583527e-65,2.18736995907054e-64,"TNFRSF9","protein_coding"
"ENSG00000049283",1.83523913794201,6.05609326589303,169.521360013765,9.41254525760941e-39,6.58506797882609e-38,"EPN3","protein_coding"
"ENSG00000049541",1.06038893316736,5.33235369374449,278.543134846591,1.5598225769852e-62,2.17783388433045e-61,"RFC2","protein_coding"
"ENSG00000049768",2.55441734432894,2.6826544888592,353.467576975388,7.44793823998686e-79,1.43833698387073e-77,"FOXP3","protein_coding"
"ENSG00000050030",1.0935318221088,2.04594405419793,46.9528776525842,7.27141459289206e-12,1.61646844807795e-11,"NEXMIF","protein_coding"
"ENSG00000050165",-1.30573004975531,6.2135053508337,213.519866260738,2.34401494095243e-48,2.21726534545476e-47,"DKK3","protein_coding"
"ENSG00000050344",1.43177886479902,4.88571252345608,134.908761186157,3.45695019211946e-31,1.83526982845101e-30,"NFE2L3","protein_coding"
"ENSG00000050438",1.85458357847546,4.9224232221681,106.673166276873,5.24987230127367e-25,2.17176583746221e-24,"SLC4A8","protein_coding"
"ENSG00000050555",-1.67061211530412,2.85601915287412,195.246047360238,2.27673187309244e-44,1.91825724339819e-43,"LAMC3","protein_coding"
"ENSG00000050628",-1.14940412059508,5.35815703502426,70.9420925988925,3.67865149027573e-17,1.07236731905288e-16,"PTGER3","protein_coding"
"ENSG00000050730",2.98117156587316,0.120246422790581,138.599673869939,5.38819543780491e-32,2.96214069939078e-31,"TNIP3","protein_coding"
"ENSG00000051128",1.10544656776035,5.00084505499163,146.588044802187,9.65578347164618e-34,5.67448197090867e-33,"HOMER3","protein_coding"
"ENSG00000051180",2.95092081082783,3.30152187033663,513.169728349809,1.29591549146653e-113,4.57913617048092e-112,"RAD51","protein_coding"
"ENSG00000051341",3.21267828181856,2.99047669012455,501.919043206343,3.63435052270923e-111,1.24147122496398e-109,"POLQ","protein_coding"
"ENSG00000051596",1.39059611143203,3.27354321492963,246.436920774656,1.55326299240157e-55,1.83614513132077e-54,"THOC3","protein_coding"
"ENSG00000052344",1.21609282007198,7.78335616294166,123.402374598059,1.13852454363344e-28,5.49812360078493e-28,"PRSS8","protein_coding"
"ENSG00000052850",-2.50140789644402,2.16149632455203,259.821481950682,1.87684696800299e-58,2.38022757548103e-57,"ALX4","protein_coding"
"ENSG00000053108",2.2382040256863,2.40476456346127,126.089499191816,2.93924078305979e-29,1.44845607563368e-28,"FSTL4","protein_coding"
"ENSG00000053254",-1.47076646520003,5.80853255982354,642.251647433529,1.08203327682627e-141,6.61600597633119e-140,"FOXN3","protein_coding"
"ENSG00000053438",-3.53549967561002,2.05850801291424,819.841036734397,2.6201609201688e-180,2.70403379618478e-178,"NNAT","protein_coding"
"ENSG00000053702",-1.01758341349885,2.48065496607349,222.818241570742,2.19619349749599e-50,2.22528593083945e-49,"NRIP2","protein_coding"
"ENSG00000053747",-1.90474962138577,6.12178064160541,233.711004984714,9.24829732938825e-53,1.0100114188674e-51,"LAMA3","protein_coding"
"ENSG00000054277",1.17902289919695,3.80647132476996,119.679662963725,7.43473196223226e-28,3.48424908513552e-27,"OPN3","protein_coding"
"ENSG00000054356",1.97475083116145,1.24166220965743,54.6548491175786,1.43669388236621e-13,3.5006513648411e-13,"PTPRN","protein_coding"
"ENSG00000054803",-1.20116884132585,0.355341202425611,73.1710166052007,1.18888847273523e-17,3.55064609718277e-17,"CBLN4","protein_coding"
"ENSG00000054938",2.08387117251633,2.31001826336738,47.0033361897599,7.08659726505746e-12,1.57628098591568e-11,"CHRDL2","protein_coding"
"ENSG00000054967",1.31072515755283,3.59173658411893,213.358079306571,2.54246543123751e-48,2.40265446881239e-47,"RELT","protein_coding"
"ENSG00000055118",2.5621747751533,2.50705349161888,114.81000651499,8.66104616104736e-27,3.87551514960378e-26,"KCNH2","protein_coding"
"ENSG00000055163",1.39525248740616,5.65183643709122,112.946174922174,2.21712665069697e-26,9.76847872641617e-26,"CYFIP2","protein_coding"
"ENSG00000055813",-1.83781103537783,0.403348424936587,186.933746245616,1.48475909996069e-42,1.17772371877728e-41,"CCDC85A","protein_coding"
"ENSG00000056291",2.12879322217341,-0.747480168826609,38.9133561283058,4.43039009387529e-10,8.91425198896612e-10,"NPFFR2","protein_coding"
"ENSG00000056487",2.13483449201943,1.00915733746975,40.549387460356,1.91708626122594e-10,3.93732415765104e-10,"PHF21B","protein_coding"
"ENSG00000056998",-3.97625392082484,5.23196839077454,1921.96848242147,0,0,"GYG2","protein_coding"
"ENSG00000057149",4.03474658144044,0.921894171612958,15.0808321398613,0.000103003910152645,0.000150798714067953,"SERPINB3","protein_coding"
"ENSG00000057593",2.99190576876141,3.09885765561109,131.33250333192,2.09419479774048e-30,1.07351562496526e-29,"F7","protein_coding"
"ENSG00000058085",-1.43301582578317,6.4661239879038,107.595892828792,3.29567478693306e-25,1.38063008417374e-24,"LAMC2","protein_coding"
"ENSG00000058335",1.65508613066299,2.03476163633793,71.1906491242619,3.2432155314337e-17,9.46989804500215e-17,"RASGRF1","protein_coding"
"ENSG00000059573",1.02483575918697,7.02802733259359,336.88829017776,3.03776851770241e-75,5.50154827648891e-74,"ALDH18A1","protein_coding"
"ENSG00000060566",1.98736471450414,-3.50612437744263,35.6605801535727,2.34868818435045e-09,4.54566015437146e-09,"CREB3L3","protein_coding"
"ENSG00000060718",6.53309234466876,8.05548846187846,556.258028368707,5.47808205651995e-123,2.3278865035386e-121,"COL11A1","protein_coding"
"ENSG00000061656",1.42147486407149,2.93250742328432,135.467691373002,2.60878328149792e-31,1.39180300617114e-30,"SPAG4","protein_coding"
"ENSG00000062096",1.54905812475027,-2.25679501924626,12.4237555273457,0.000423906921654791,0.000594713695380616,"ARSF","protein_coding"
"ENSG00000062282",-3.23382542950917,5.9928124824542,853.271893777001,1.41335523939626e-187,1.55748553358328e-185,"DGAT2","protein_coding"
"ENSG00000063015",4.051076072083,1.59700675691543,65.597402659035,5.53116096594172e-16,1.52251333108514e-15,"SEZ6","protein_coding"
"ENSG00000064042",-1.03216961406685,6.40738668709574,124.349338827986,7.06443648708107e-29,3.43620532869118e-28,"LIMCH1","protein_coding"
"ENSG00000064195",1.41730856440989,2.88761365495781,61.4470753673347,4.54805392438904e-15,1.19538865106062e-14,"DLX3","protein_coding"
"ENSG00000064205",-1.64722443594478,5.13094737227349,154.507625162705,1.79388193219468e-35,1.1279712149406e-34,"CCN5","protein_coding"
"ENSG00000064218",-1.10567796674804,0.323739009558459,73.0971325100822,1.23423708629891e-17,3.68382469292428e-17,"DMRT3","protein_coding"
"ENSG00000064270",1.33117127383653,4.29546210950029,89.6661878723498,2.81932470197546e-21,9.95130805501833e-21,"ATP2C2","protein_coding"
"ENSG00000064300",-2.4407384898031,4.95635651288424,378.224240125223,3.03091965660357e-84,6.48224648048823e-83,"NGFR","protein_coding"
